CD_MUN,MUN,AR_TER_km2,POP_EST,DENS_DEM,ESC,IDHM,MORT_INF,PIB_P_CAP,MD_CIR_G,MD_CLIN,MD_GIN_OBS,MD_FAM,MD_PED,MD_GERI,MD_URO,AS_SOC,ENF,FISIO,FONO,NUTRI,ODONTO,PSICO,PSIQ,POSTO,CS_UBS,POLICL,HOSP_GER,HOSP_ESP,PRT_SOC,PRT_ESP
1100338,Nova Mamoré,10070.49,32184,2.24,92.8,587,9.26,17095.19,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
1100346,Alvorada D'Oeste,3029.189,13807,5.56,97.6,643,4.88,17423.49,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
1100379,Alto Alegre dos Parecis,3958.273,13268,3.24,95.9,592,6.49,21053.93,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
1100403,Alto Paraíso,2651.822,22258,6.46,95.7,625,4.42,15655.57,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0
1100452,Buritis,3265.809,41043,9.92,94.9,616,5.15,17489.18,0.0,3.0,0.0,0.0,9.0,0.0,0.0,3.0,27.0,6.0,2.0,3.0,5.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0
1100502,Novo Horizonte do Oeste,843446,8125,12.14,97.5,634,24.365,18946.14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1100601,Cacaulândia,1961.778,6307,2.92,95.5,646,24.365,22718.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
1100700,Campo Novo de Rondônia,3442.005,14391,3.68,90.6,593,12.05,20011.5,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1100809,Candeias do Jamari,6843.868,28068,2.89,95.7,649,23.74,21856.51,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,4.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
1100908,Castanheiras,892841,2923,4,97.9,658,24.365,36238.14,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1100924,Chupinguaia,5126.723,11755,1.62,97,652,6.17,27680.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
1100940,Cujubim,3863.946,27131,4.1,94.4,612,24.365,14739.4,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1101005,Governador Jorge Teixeira,5067.384,7130,2.07,93.6,596,17.86,22085.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
1101104,Itapuã do Oeste,4081.58,10819,2.1,96.3,614,24.365,17551.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1101203,Ministro Andreazza,798083,9461,12.97,95.5,638,24.365,21126.07,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
1101302,Mirante da Serra,1191.875,10691,9.97,98,643,6.1,19672.11,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1101401,Monte Negro,1931.378,16158,7.3,93.5,607,10.05,18031.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
1101435,Nova União,807125,6822,9.28,98.7,587,9.62,17178.06,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1101450,Parecis,2548.683,6319,1.89,97.7,617,24.365,17923.34,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1101468,Pimenteiras do Oeste,6014.733,2127,0.38,93.8,665,24.365,47731.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1101476,Primavera de Rondônia,605692,2697,5.82,98.6,641,46.51,20598.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1101484,São Felipe D'Oeste,541647,4962,11.11,98.7,649,37.04,16961.44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1101492,São Francisco do Guaporé,10959.767,21088,1.46,95.7,611,13.2,17778.54,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,25.0,8.0,0.0,2.0,2.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
1101500,Seringueiras,3773.505,11846,3.08,95.9,598,11.9,19812.88,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
1101559,Teixeirópolis,459978,4160,10.63,99.2,643,46.88,20370.33,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1101609,Theobroma,2197.413,10348,4.85,98.4,589,24.365,18292.84,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
1101708,Urupá,831857,11081,15.6,96.6,609,17.65,18617.76,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,11.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
1101757,Vale do Anari,3135.106,11545,2.99,94.8,584,10.75,14505.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
1101807,Vale do Paraíso,965676,6490,8.5,97.5,627,24.69,21454.91,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1200013,Acrelândia,1811.613,15721,6.94,95.1,604,24.365,15737.64,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
1200054,Assis Brasil,4979.073,7649,1.22,85.1,588,18.8,12532.31,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
