MUN;Nao;Total
220480 IPIRANGA DO PIAUI;104;107
220490 ISAIAS COELHO;89;89
220500 ITAINOPOLIS;108;111
220510 ITAUEIRA;100;101
220515 JACOBINA DO PIAUI;77;78
220520 JAICOS;244;245
220525 JARDIM DO MULATO;44;45
220527 JATOBA DO PIAUI;47;48
220530 JERUMENHA;49;49
220535 JOAO COSTA;37;37
220540 JOAQUIM PIRES;195;200
220545 JOCA MARQUES;72;72
220550 JOSE DE FREITAS;604;620
220551 JUAZEIRO DO PIAUI;52;52
220552 JULIO BORGES;77;79
220553 JUREMA;67;67
220554 LAGOINHA DO PIAUI;33;33
220555 LAGOA ALEGRE;93;95
220556 LAGOA DO BARRO DO PIAUI;75;76
220557 LAGOA DE SAO FRANCISCO;59;59
220558 LAGOA DO PIAUI;70;71
220559 LAGOA DO SITIO;47;48
220560 LANDRI SALES;78;78
220570 LUIS CORREIA;440;455
220580 LUZILANDIA;345;348
220585 MADEIRO;98;101
220590 MANOEL EMIDIO;66;66
220595 MARCOLANDIA;133;134
220600 MARCOS PARENTE;64;64
220605 MASSAPE DO PIAUI;53;53
220610 MATIAS OLIMPIO;159;161
220620 MIGUEL ALVES;468;482
220630 MIGUEL LEAO;14;15
220635 MILTON BRANDAO;77;77
220640 MONSENHOR GIL;141;146
220650 MONSENHOR HIPOLITO;92;94
220660 MONTE ALEGRE DO PIAUI;172;173
220665 MORRO CABECA NO TEMPO;63;64
220667 MORRO DO CHAPEU DO PIAUI;94;95
220669 MURICI DOS PORTELAS;83;86
220670 NAZARE DO PIAUI;85;86
220672 NAZARIA;134;137
220675 NOSSA SENHORA DE NAZARE;58;59
220680 NOSSA SENHORA DOS REMEDIOS;138;140
220690 NOVO ORIENTE DO PIAUI;56;56
220695 NOVO SANTO ANTONIO;26;29
220700 OEIRAS;500;501
220710 OLHO D'AGUA DO PIAUI;39;39
220720 PADRE MARCOS;72;73
220730 PAES LANDIM;68;68
220735 PAJEU DO PIAUI;25;26
220740 PALMEIRA DO PIAUI;69;71
220750 PALMEIRAIS;162;168
220755 PAQUETA;40;41
220760 PARNAGUA;147;152
220770 PARNAIBA;2490;2530
220775 PASSAGEM FRANCA DO PIAUI;48;48
220777 PATOS DO PIAUI;60;60
220779 PAU D'ARCO DO PIAUI;48;49
220780 PAULISTANA;301;305
220785 PAVUSSU;36;36
220790 PEDRO II;509;513
220793 PEDRO LAURENTINO;31;31
220795 NOVA SANTA RITA;44;44
220800 PICOS;1011;1026
220810 PIMENTEIRAS;118;119
220820 PIO IX;221;227
220830 PIRACURUCA;362;364
220840 PIRIPIRI;881;892
220850 PORTO;205;208
220855 PORTO ALEGRE DO PIAUI;39;40
220860 PRATA DO PIAUI;50;50
220865 QUEIMADA NOVA;98;102
220870 REDENCAO DO GURGUEIA;124;124
220880 REGENERACAO;241;246
220885 RIACHO FRIO;56;56
220887 RIBEIRA DO PIAUI;47;47
220890 RIBEIRO GONCALVES;84;87
220900 RIO GRANDE DO PIAUI;63;64
220910 SANTA CRUZ DO PIAUI;70;70
220915 SANTA CRUZ DOS MILAGRES;31;31
220920 SANTA FILOMENA;83;98
220930 SANTA LUZ;68;69
220935 SANTANA DO PIAUI;36;37
220937 SANTA ROSA DO PIAUI;64;64
220940 SANTO ANTONIO DE LISBOA;67;68
220945 SANTO ANTONIO DOS MILAGRES;28;29
220950 SANTO INACIO DO PIAUI;48;48
220955 SAO BRAZ DO PIAUI;41;41
220960 SAO FELIX DO PIAUI;22;22
220965 SAO FRANCISCO DE ASSIS DO PIAUI;72;73
220970 SAO FRANCISCO DO PIAUI;61;61
220975 SAO GONCALO DO GURGUEIA;39;40
220980 SAO GONCALO DO PIAUI;63;63
220985 SAO JOAO DA CANABRAVA;46;48
220987 SAO JOAO DA FRONTEIRA;72;72
220990 SAO JOAO DA SERRA;63;64
220995 SAO JOAO DA VARJOTA;49;49
220997 SAO JOAO DO ARRAIAL;147;148
221000 SAO JOAO DO PIAUI;327;329
221005 SAO JOSE DO DIVINO;55;55
221010 SAO JOSE DO PEIXE;33;34
221020 SAO JOSE DO PIAUI;91;91
221030 SAO JULIAO;76;76
221035 SAO LOURENCO DO PIAUI;39;40
221037 SAO LUIS DO PIAUI;24;25
221038 SAO MIGUEL DA BAIXA GRANDE;21;21
221039 SAO MIGUEL DO FIDALGO;40;40
221040 SAO MIGUEL DO TAPUIO;228;231
221050 SAO PEDRO DO PIAUI;179;187
221060 SAO RAIMUNDO NONATO;558;563
221062 SEBASTIAO BARROS;57;57
221063 SEBASTIAO LEAL;46;48
221065 SIGEFREDO PACHECO;77;80
221070 SIMOES;195;197
221080 SIMPLICIO MENDES;141;143
221090 SOCORRO DO PIAUI;36;37
221093 SUSSUAPARA;83;83
221095 TAMBORIL DO PIAUI;47;47
221097 TANQUE DO PIAUI;27;27
221100 TERESINA;12488;12725
221110 UNIAO;563;579
221120 URUCUI;440;442
221130 VALENCA DO PIAUI;268;270
221135 VARZEA BRANCA;85;85
221140 VARZEA GRANDE;35;35
221150 VERA MENDES;38;41
221160 VILA NOVA DO PIAUI;18;19
221170 WALL FERRAZ;41;42
230010 ABAIARA;149;151
230015 ACARAPE;181;187
230020 ACARAU;1013;1014
230030 ACOPIARA;543;545
230040 AIUABA;197;199
230050 ALCANTARAS;157;158
230060 ALTANEIRA;106;106
230070 ALTO SANTO;164;165
230075 AMONTADA;363;688
230080 ANTONINA DO NORTE;90;90
230090 APUIARES;147;153
230100 AQUIRAZ;1087;1124
230110 ARACATI;950;965
230120 ARACOIABA;275;345
230125 ARARENDA;135;142
230130 ARARIPE;331;333
230140 ARATUBA;126;148
230150 ARNEIROZ;91;92
230160 ASSARE;270;271
230170 AURORA;327;329
230180 BAIXIO;59;61
230185 BANABUIU;241;246
230190 BARBALHA;1250;1278
230195 BARREIRA;346;356
230200 BARRO;216;219
230205 BARROQUINHA;203;204
230210 BATURITE;389;488
230220 BEBERIBE;545;579
230230 BELA CRUZ;385;386
230240 BOA VIAGEM;633;646
230250 BREJO SANTO;773;782
230260 CAMOCIM;944;950
230270 CAMPOS SALES;321;330
230280 CANINDE;994;1043
230290 CAPISTRANO;214;249
230300 CARIDADE;205;212
230310 CARIRE;252;254
230320 CARIRIACU;393;396
230330 CARIUS;166;169
230340 CARNAUBAL;222;225
230350 CASCAVEL;994;1008
230360 CATARINA;133;135
230365 CATUNDA;103;104
230370 CAUCAIA;4886;5124
230380 CEDRO;270;270
230390 CHAVAL;165;166
230393 CHORO;140;141
230395 CHOROZINHO;260;270
230400 COREAU;324;325
230410 CRATEUS;975;981
230420 CRATO;2091;2101
230423 CROATA;251;256
230425 CRUZ;435;440
230426 DEPUTADO IRAPUAN PINHEIRO;76;77
230427 ERERE;36;36
230428 EUSEBIO;1145;1199
230430 FARIAS BRITO;240;242
230435 FORQUILHA;330;331
230440 FORTALEZA;30338;32376
230445 FORTIM;183;183
230450 FRECHEIRINHA;271;274
230460 GENERAL SAMPAIO;106;108
230465 GRACA;180;180
230470 GRANJA;782;785
230480 GRANJEIRO;72;73
230490 GROAIRAS;143;146
230495 GUAIUBA;301;309
230500 GUARACIABA DO NORTE;646;659
230510 GUARAMIRANGA;62;76
230520 HIDROLANDIA;238;240
230523 HORIZONTE;1103;1134
230526 IBARETAMA;179;182
230530 IBIAPINA;382;383
230533 IBICUITINGA;130;131
230535 ICAPUI;263;265
230540 ICO;821;832
230550 IGUATU;1317;1340
230560 INDEPENDENCIA;297;301
230565 IPAPORANGA;128;129
230570 IPAUMIRIM;114;116
230580 IPU;691;692
230590 IPUEIRAS;517;523
230600 IRACEMA;170;170
230610 IRAUCUBA;364;365
230620 ITAICABA;91;91
230625 ITAITINGA;679;702
230630 ITAPAGE;645;659
230640 ITAPIPOCA;764;2073
230650 ITAPIUNA;173;203
230655 ITAREMA;791;793
230660 ITATIRA;309;319
230670 JAGUARETAMA;223;225
230680 JAGUARIBARA;134;137
230690 JAGUARIBE;448;451
230700 JAGUARUANA;346;353
230710 JARDIM;435;444
230720 JATI;117;119
230725 JIJOCA DE JERICOACOARA;389;392
230730 JUAZEIRO DO NORTE;3939;3983
230740 JUCAS;282;284
230750 LAVRAS DA MANGABEIRA;327;334
230760 LIMOEIRO DO NORTE;693;731
230763 MADALENA;167;175
230765 MARACANAU;3972;4137
230770 MARANGUAPE;1279;1325
230780 MARCO;546;549
230790 MARTINOPOLE;188;189
230800 MASSAPE;582;590
230810 MAURITI;615;630
230820 MERUOCA;191;192
230830 MILAGRES;343;347
230835 MILHA;136;140
230837 MIRAIMA;71;189
230840 MISSAO VELHA;569;579
230850 MOMBACA;466;470
230860 MONSENHOR TABOSA;197;202
230870 MORADA NOVA;671;691
230880 MORAUJO;112;112
230890 MORRINHOS;327;333
230900 MUCAMBO;171;172
230910 MULUNGU;121;142
230920 NOVA OLINDA;247;250
230930 NOVA RUSSAS;368;369
230940 NOVO ORIENTE;327;329
230945 OCARA;269;274
230950 OROS;219;222
230960 PACAJUS;881;920
230970 PACATUBA;926;966
230980 PACOTI;92;121
230990 PACUJA;83;83
231000 PALHANO;122;123
231010 PALMACIA;117;117
231020 PARACURU;585;607
231025 PARAIPABA;454;472
231030 PARAMBU;406;413
231040 PARAMOTI;114;116
231050 PEDRA BRANCA;468;476
231060 PENAFORTE;171;176
231070 PENTECOSTE;506;512
231080 PEREIRO;190;192
231085 PINDORETAMA;306;313
231090 PIQUET CARNEIRO;118;120
231095 PIRES FERREIRA;94;94
231100 PORANGA;158;161
231110 PORTEIRAS;231;239
231120 POTENGI;113;114
231123 POTIRETAMA;68;68
231126 QUITERIANOPOLIS;223;228
231130 QUIXADA;1239;1267
231135 QUIXELO;183;186
231140 QUIXERAMOBIM;1118;1130
231150 QUIXERE;259;263
231160 REDENCAO;419;441
231170 RERIUTABA;227;230
231180 RUSSAS;912;929
231190 SABOEIRO;163;164
231195 SALITRE;280;283
231200 SANTANA DO ACARAU;437;439
231210 SANTANA DO CARIRI;242;244
231220 SANTA QUITERIA;515;519
231230 SAO BENEDITO;764;767
231240 SAO GONCALO DO AMARANTE;797;826
231250 SAO JOAO DO JAGUARIBE;59;59
231260 SAO LUIS DO CURU;158;161
231270 SENADOR POMPEU;250;259
231280 SENADOR SA;110;110
231290 SOBRAL;3078;3107
231300 SOLONOPOLE;154;156
231310 TABULEIRO DO NORTE;343;349
231320 TAMBORIL;319;325
231325 TARRAFAS;102;103
231330 TAUA;737;743
231335 TEJUCUOCA;235;238
231340 TIANGUA;1415;1422
231350 TRAIRI;525;855
231355 TURURU;102;253
231360 UBAJARA;488;496
231370 UMARI;78;79
231375 UMIRIM;139;277
231380 URUBURETAMA;160;353
231390 URUOCA;162;162
231395 VARJOTA;263;270
231400 VARZEA ALEGRE;456;468
231410 VICOSA DO CEARA;970;983
240010 ACARI;92;92
240020 ACU;673;680
240030 AFONSO BEZERRA;104;106
240040 AGUA NOVA;36;36
240050 ALEXANDRIA;161;161
240060 ALMINO AFONSO;53;55
240070 ALTO DO RODRIGUES;179;181
240080 ANGICOS;141;143
240090 ANTONIO MARTINS;87;88
240100 APODI;437;441
240110 AREIA BRANCA;314;319
240120 ARES;169;172
240130 AUGUSTO SEVERO;70;82
240140 BAIA FORMOSA;90;93
240145 BARAUNA;340;343
240150 BARCELONA;46;53
240160 BENTO FERNANDES;48;67
240165 BODO;42;51
240170 BOM JESUS;108;120
240180 BREJINHO;170;172
240185 CAICARA DO NORTE;62;85
240190 CAICARA DO RIO DO VENTO;53;53
240200 CAICO;661;668
240210 CAMPO REDONDO;108;121
240220 CANGUARETAMA;497;505
240230 CARAUBAS;140;266
240240 CARNAUBA DOS DANTAS;99;105
240250 CARNAUBAIS;89;90
240260 CEARA-MIRIM;756;1118
240270 CERRO CORA;104;122
240280 CORONEL EZEQUIEL;59;65
240290 CORONEL JOAO PESSOA;68;69
240300 CRUZETA;92;93
240310 CURRAIS NOVOS;452;463
240320 DOUTOR SEVERIANO;111;111
240325 PARNAMIRIM;3350;3462
240330 ENCANTO;84;85
240340 EQUADOR;68;70
240350 ESPIRITO SANTO;117;117
240360 EXTREMOZ;502;512
240370 FELIPE GUERRA;52;53
240375 FERNANDO PEDROZA;29;29
240380 FLORANIA;107;109
240390 FRANCISCO DANTAS;34;34
240400 FRUTUOSO GOMES;57;57
240410 GALINHOS;32;36
240420 GOIANINHA;472;482
240430 GOVERNADOR DIX-SEPT ROSADO;114;118
240440 GROSSOS;104;105
240450 GUAMARE;315;327
240460 IELMO MARINHO;81;117
240470 IPANGUACU;199;202
240480 IPUEIRA;19;19
240485 ITAJA;87;89
240490 ITAU;65;66
240500 JACANA;107;130
240510 JANDAIRA;72;93
240520 JANDUIS;50;59
240530 JANUARIO CICCO;142;157
240540 JAPI;85;92
240550 JARDIM DE ANGICOS;18;29
240560 JARDIM DE PIRANHAS;158;161
240570 JARDIM DO SERIDO;101;103
240580 JOAO CAMARA;387;505
240590 JOAO DIAS;21;21
240600 JOSE DA PENHA;71;71
240610 JUCURUTU;192;192
240615 JUNDIA;11;13
240620 LAGOA D'ANTA;79;88
240630 LAGOA DE PEDRAS;80;81
240640 LAGOA DE VELHOS;40;45
240650 LAGOA NOVA;180;198
240660 LAGOA SALGADA;158;160
240670 LAJES;107;117
240680 LAJES PINTADAS;60;65
240690 LUCRECIA;25;27
240700 LUIS GOMES;139;139
240710 MACAIBA;952;964
240720 MACAU;251;281
240725 MAJOR SALES;55;55
240730 MARCELINO VIEIRA;96;98
240740 MARTINS;85;88
240750 MAXARANGUAPE;118;159
240760 MESSIAS TARGINO;39;40
240770 MONTANHAS;165;168
240780 MONTE ALEGRE;290;295
240790 MONTE DAS GAMELEIRAS;40;44
240800 MOSSORO;3431;3469
240810 NATAL;10345;10825
240820 NISIA FLORESTA;352;357
240830 NOVA CRUZ;465;483
240840 OLHO-D'AGUA DO BORGES;19;30
240850 OURO BRANCO;42;44
240860 PARANA;55;56
240870 PARAU;38;38
240880 PARAZINHO;67;91
240890 PARELHAS;287;288
240895 RIO DO FOGO;109;159
240910 PASSA E FICA;131;144
240920 PASSAGEM;40;41
240930 PATU;114;115
240933 SANTA MARIA;50;63
240940 PAU DOS FERROS;357;360
240950 PEDRA GRANDE;50;65
240960 PEDRA PRETA;19;28
240970 PEDRO AVELINO;60;79
240980 PEDRO VELHO;187;192
240990 PENDENCIAS;152;154
241000 PILOES;37;37
241010 POCO BRANCO;120;153
241020 PORTALEGRE;77;78
241025 PORTO DO MANGUE;81;81
241030 SERRA CAIADA;128;144
241040 PUREZA;90;124
241050 RAFAEL FERNANDES;66;66
241060 RAFAEL GODEIRO;42;43
241070 RIACHO DA CRUZ;30;30
241080 RIACHO DE SANTANA;37;38
241090 RIACHUELO;72;75
241100 RODOLFO FERNANDES;78;79
241105 TIBAU;84;84
241110 RUY BARBOSA;49;53
241120 SANTA CRUZ;463;526
241140 SANTANA DO MATOS;118;121
241142 SANTANA DO SERIDO;35;35
241150 SANTO ANTONIO;289;297
241160 SAO BENTO DO NORTE;30;43
241170 SAO BENTO DO TRAIRI;57;60
241180 SAO FERNANDO;32;33
241190 SAO FRANCISCO DO OESTE;76;77
241200 SAO GONCALO DO AMARANTE;1325;1350
241210 SAO JOAO DO SABUGI;54;54
241220 SAO JOSE DE MIPIBU;684;694
241230 SAO JOSE DO CAMPESTRE;106;128
241240 SAO JOSE DO SERIDO;57;58
241250 SAO MIGUEL;292;293
241255 SAO MIGUEL DO GOSTOSO;109;144
241260 SAO PAULO DO POTENGI;175;201
241270 SAO PEDRO;81;94
241280 SAO RAFAEL;75;75
241290 SAO TOME;88;106
241300 SAO VICENTE;69;69
241310 SENADOR ELOI DE SOUZA;70;77
241320 SENADOR GEORGINO AVELINO;63;63
241330 SERRA DE SAO BENTO;66;68
241335 SERRA DO MEL;207;211
241340 SERRA NEGRA DO NORTE;79;79
241350 SERRINHA;88;91
241355 SERRINHA DOS PINTOS;49;49
241360 SEVERIANO MELO;77;78
241370 SITIO NOVO;49;59
241380 TABOLEIRO GRANDE;24;24
241390 TAIPU;103;127
241400 TANGARA;167;198
241410 TENENTE ANANIAS;147;149
241415 TENENTE LAURENTINO CRUZ;67;80
241420 TIBAU DO SUL;225;227
241430 TIMBAUBA DOS BATISTAS;24;25
241440 TOUROS;333;418
241445 TRIUNFO POTIGUAR;46;46
241450 UMARIZAL;78;90
241460 UPANEMA;153;154
241470 VARZEA;55;57
241475 VENHA-VER;52;52
241480 VERA CRUZ;192;195
241490 VICOSA;20;20
241500 VILA FLOR;53;54
250010 AGUA BRANCA;129;129
250020 AGUIAR;55;57
250030 ALAGOA GRANDE;401;410
250040 ALAGOA NOVA;330;333
250050 ALAGOINHA;190;196
250053 ALCANTIL;86;86
250057 ALGODAO DE JANDAIRA;35;35
250060 ALHANDRA;380;391
250070 SAO JOAO DO RIO DO PEIXE;167;180
250073 AMPARO;31;31
250077 APARECIDA;75;76
250080 ARACAGI;202;206
250090 ARARA;138;141
250100 ARARUNA;205;214
250110 AREIA;328;329
250115 AREIA DE BARAUNAS;23;23
250120 AREIAL;126;128
250130 AROEIRAS;269;271
250135 ASSUNCAO;67;69
250140 BAIA DA TRAICAO;170;172
250150 BANANEIRAS;273;278
250153 BARAUNA;52;52
250157 BARRA DE SANTANA;97;98
250160 BARRA DE SANTA ROSA;149;150
250170 BARRA DE SAO MIGUEL;97;97
250180 BAYEUX;1305;1314
250190 BELEM;203;209
250200 BELEM DO BREJO DO CRUZ;88;91
250205 BERNARDINO BATISTA;38;40
250210 BOA VENTURA;88;88
250215 BOA VISTA;77;77
250220 BOM JESUS;35;37
250230 BOM SUCESSO;47;47
250240 BONITO DE SANTA FE;142;148
250250 BOQUEIRAO;287;287
250260 IGARACY;73;74
250270 BORBOREMA;69;72
250280 BREJO DO CRUZ;183;183
250290 BREJO DOS SANTOS;69;69
250300 CAAPORA;352;357
250310 CABACEIRAS;78;78
250320 CABEDELO;986;997
250330 CACHOEIRA DOS INDIOS;134;147
250340 CACIMBA DE AREIA;52;52
250350 CACIMBA DE DENTRO;224;238
250355 CACIMBAS;146;147
250360 CAICARA;100;108
250370 CAJAZEIRAS;842;910
250375 CAJAZEIRINHAS;50;50
250380 CALDAS BRANDAO;88;90
250390 CAMALAU;92;93
250400 CAMPINA GRANDE;5996;6035
250403 CAPIM;106;106
250407 CARAUBAS;48;48
250410 CARRAPATEIRA;30;32
250415 CASSERENGUE;75;75
250420 CATINGUEIRA;61;61
250430 CATOLE DO ROCHA;388;390
250435 CATURITE;92;93
250440 CONCEICAO;258;261
250450 CONDADO;71;71
250460 CONDE;492;503
250470 CONGO;100;102
250480 COREMAS;168;170
250485 COXIXOLA;20;20
250490 CRUZ DO ESPIRITO SANTO;308;310
250500 CUBATI;110;110
250510 CUITE;248;250
250520 CUITEGI;108;110
250523 CUITE DE MAMANGUAPE;98;99
250527 CURRAL DE CIMA;83;85
250530 CURRAL VELHO;25;25
250535 DAMIAO;71;71
250540 DESTERRO;126;126
250550 VISTA SERRANA;39;39
250560 DIAMANTE;87;89
250570 DONA INES;135;138
250580 DUAS ESTRADAS;48;50
250590 EMAS;34;34
250600 ESPERANCA;481;483
250610 FAGUNDES;173;173
250620 FREI MARTINHO;25;25
250625 GADO BRAVO;135;135
250630 GUARABIRA;800;820
250640 GURINHEM;194;195
250650 GURJAO;40;40
250660 IBIARA;77;79
250670 IMACULADA;154;155
250680 INGA;233;234
250690 ITABAIANA;387;388
250700 ITAPORANGA;311;313
250710 ITAPOROROCA;275;281
250720 ITATUBA;157;158
250730 JACARAU;222;224
250740 JERICO;97;99
250750 JOAO PESSOA;11206;11409
250760 JUAREZ TAVORA;111;112
250770 JUAZEIRINHO;272;280
250780 JUNCO DO SERIDO;95;95
250790 JURIPIRANGA;208;209
250800 JURU;86;86
250810 LAGOA;55;55
250820 LAGOA DE DENTRO;106;113
250830 LAGOA SECA;385;386
250840 LASTRO;55;56
250850 LIVRAMENTO;92;92
250855 LOGRADOURO;54;54
250860 LUCENA;209;211
250870 MAE D'AGUA;53;53
250880 MALTA;85;85
250890 MAMANGUAPE;741;746
250900 MANAIRA;150;151
250905 MARCACAO;165;167
250910 MARI;263;273
250915 MARIZOPOLIS;75;76
250920 MASSARANDUBA;178;178
250930 MATARACA;183;185
250933 MATINHAS;70;71
250937 MATO GROSSO;39;40
250939 MATUREIA;117;118
250940 MOGEIRO;209;210
250950 MONTADAS;96;98
250960 MONTE HOREBE;73;76
250970 MONTEIRO;501;506
250980 MULUNGU;136;141
250990 NATUBA;84;84
251000 NAZAREZINHO;89;89
251010 NOVA FLORESTA;129;132
251020 NOVA OLINDA;69;70
251030 NOVA PALMEIRA;46;46
251040 OLHO D'AGUA;82;83
251050 OLIVEDOS;38;38
251060 OURO VELHO;42;42
251065 PARARI;21;21
251070 PASSAGEM;31;31
251080 PATOS;1418;1422
251090 PAULISTA;140;140
251100 PEDRA BRANCA;56;57
251110 PEDRA LAVRADA;74;74
251120 PEDRAS DE FOGO;455;461
251130 PIANCO;175;176
251140 PICUI;255;257
251150 PILAR;194;197
251160 PILOES;144;150
251170 PILOEZINHOS;73;74
251180 PIRPIRITUBA;139;143
251190 PITIMBU;285;291
251200 POCINHOS;278;281
251203 POCO DANTAS;45;45
251207 POCO DE JOSE DE MOURA;45;51
251210 POMBAL;408;411
251220 PRATA;55;55
251230 PRINCESA ISABEL;284;286
251240 PUXINANA;228;228
251250 QUEIMADAS;639;649
251260 QUIXABA;29;29
251270 REMIGIO;269;269
251272 PEDRO REGIS;55;56
251274 RIACHAO;46;47
251275 RIACHAO DO BACAMARTE;57;57
251276 RIACHAO DO POCO;70;72
251278 RIACHO DE SANTO ANTONIO;36;36
251280 RIACHO DOS CAVALOS;121;123
251290 RIO TINTO;323;325
251300 SALGADINHO;37;37
251310 SALGADO DE SAO FELIX;144;144
251315 SANTA CECILIA;116;117
251320 SANTA CRUZ;75;75
251330 SANTA HELENA;41;44
251335 SANTA INES;40;41
251340 SANTA LUZIA;188;190
251350 SANTANA DE MANGUEIRA;62;62
251360 SANTANA DOS GARROTES;85;85
251365 JOCA CLAUDINO;13;14
251370 SANTA RITA;2282;2297
251380 SANTA TERESINHA;57;59
251385 SANTO ANDRE;23;23
251390 SAO BENTO;485;486
251392 SAO BENTINHO;41;43
251394 SAO DOMINGOS DO CARIRI;30;30
251396 SAO DOMINGOS;33;33
251398 SAO FRANCISCO;45;45
251400 SAO JOAO DO CARIRI;52;52
251410 SAO JOAO DO TIGRE;57;58
251420 SAO JOSE DA LAGOA TAPADA;85;85
251430 SAO JOSE DE CAIANA;71;72
251440 SAO JOSE DE ESPINHARAS;43;43
251445 SAO JOSE DOS RAMOS;99;99
251450 SAO JOSE DE PIRANHAS;247;253
251455 SAO JOSE DE PRINCESA;42;43
251460 SAO JOSE DO BONFIM;73;73
251465 SAO JOSE DO BREJO DO CRUZ;24;25
251470 SAO JOSE DO SABUGI;42;43
251480 SAO JOSE DOS CORDEIROS;39;39
251490 SAO MAMEDE;104;104
251500 SAO MIGUEL DE TAIPU;117;117
251510 SAO SEBASTIAO DE LAGOA DE ROCA;124;126
251520 SAO SEBASTIAO DO UMBUZEIRO;43;43
251530 SAPE;494;575
251540 SAO VICENTE DO SERIDO;174;176
251550 SERRA BRANCA;125;126
251560 SERRA DA RAIZ;49;53
251570 SERRA GRANDE;50;51
251580 SERRA REDONDA;81;81
251590 SERRARIA;51;56
251593 SERTAOZINHO;61;61
251597 SOBRADO;124;126
251600 SOLANEA;387;391
251610 SOLEDADE;202;205
251615 SOSSEGO;58;59
251620 SOUSA;930;946
251630 SUME;203;204
251640 TACIMA;102;103
251650 TAPEROA;210;212
251660 TAVARES;163;164
251670 TEIXEIRA;220;220
251675 TENORIO;41;41
251680 TRIUNFO;86;94
251690 UIRAUNA;177;188
251700 UMBUZEIRO;134;136
251710 VARZEA;27;27
251720 VIEIROPOLIS;59;60
251740 ZABELE;34;34
260005 ABREU E LIMA;1276;1291
260010 AFOGADOS DA INGAZEIRA;598;609
260020 AFRANIO;247;253
260030 AGRESTINA;340;346
260040 AGUA PRETA;391;395
260050 AGUAS BELAS;668;679
260060 ALAGOINHA;222;227
260070 ALIANCA;493;498
260080 ALTINHO;260;264
260090 AMARAJI;269;272
260100 ANGELIM;137;137
260105 ARACOIABA;283;288
260110 ARARIPINA;1540;1558
260120 ARCOVERDE;1176;1186
260130 BARRA DE GUABIRABA;156;161
260140 BARREIROS;620;635
260150 BELEM DE MARIA;149;150
260160 BELEM DE SAO FRANCISCO;296;297
260170 BELO JARDIM;1132;1142
260180 BETANIA;177;178
260190 BEZERROS;794;801
260200 BODOCO;528;532
260210 BOM CONSELHO;424;429
260220 BOM JARDIM;469;477
260230 BONITO;588;599
260240 BREJAO;172;174
260250 BREJINHO;99;102
260260 BREJO DA MADRE DE DEUS;726;735
260270 BUENOS AIRES;177;178
260280 BUIQUE;806;821
260290 CABO DE SANTO AGOSTINHO;2735;2884
260300 CABROBO;457;462
260310 CACHOEIRINHA;271;273
260320 CAETES;367;378
260330 CALCADO;120;122
260340 CALUMBI;69;69
260345 CAMARAGIBE;2187;2205
260350 CAMOCIM DE SAO FELIX;220;223
260360 CAMUTANGA;92;93
260370 CANHOTINHO;337;340
260380 CAPOEIRAS;290;293
260390 CARNAIBA;274;278
260392 CARNAUBEIRA DA PENHA;250;252
260400 CARPINA;997;1005
260410 CARUARU;5777;5850
260415 CASINHAS;182;187
260420 CATENDE;462;466
260430 CEDRO;137;139
260440 CHA DE ALEGRIA;199;201
260450 CHA GRANDE;290;295
260460 CONDADO;336;342
260470 CORRENTES;203;205
260480 CORTES;147;147
260490 CUMARU;154;155
260500 CUPIRA;356;363
260510 CUSTODIA;519;523
260515 DORMENTES;258;260
260520 ESCADA;802;809
260530 EXU;436;439
260540 FEIRA NOVA;314;321
260545 FERNANDO DE NORONHA;32;33
260550 FERREIROS;122;123
260560 FLORES;261;265
260570 FLORESTA;486;492
260580 FREI MIGUELINHO;109;111
260590 GAMELEIRA;284;285
260600 GARANHUNS;2167;2193
260610 GLORIA DO GOITA;374;382
260620 GOIANA;1121;1143
260630 GRANITO;107;108
260640 GRAVATA;963;974
260650 IATI;327;330
260660 IBIMIRIM;437;437
260670 IBIRAJUBA;94;96
260680 IGARASSU;1522;1535
260690 IGUARACY;136;137
260700 INAJA;349;361
260710 INGAZEIRA;54;54
260720 IPOJUCA;1747;1759
260730 IPUBI;571;574
260740 ITACURUBA;87;88
260750 ITAIBA;327;330
260760 ILHA DE ITAMARACA;288;290
260765 ITAMBE;389;394
260770 ITAPETIM;179;180
260775 ITAPISSUMA;353;358
260780 ITAQUITINGA;196;201
260790 JABOATAO DOS GUARARAPES;8569;8697
260795 JAQUEIRA;171;172
260800 JATAUBA;222;227
260805 JATOBA;194;201
260810 JOAO ALFREDO;314;317
260820 JOAQUIM NABUCO;212;215
260825 JUCATI;170;172
260830 JUPI;272;276
260840 JUREMA;196;198
260845 LAGOA DO CARRO;230;232
260850 LAGOA DE ITAENGA;320;324
260860 LAGOA DO OURO;159;161
260870 LAGOA DOS GATOS;205;208
260875 LAGOA GRANDE;370;372
260880 LAJEDO;642;654
260890 LIMOEIRO;695;701
260900 MACAPARANA;340;347
260910 MACHADOS;181;182
260915 MANARI;283;287
260920 MARAIAL;165;165
260930 MIRANDIBA;239;240
260940 MORENO;706;716
260950 NAZARE DA MATA;413;417
260960 OLINDA;4793;4849
260970 OROBO;257;259
260980 OROCO;276;279
260990 OURICURI;1047;1058
261000 PALMARES;844;851
261010 PALMEIRINA;97;98
261020 PANELAS;306;312
261030 PARANATAMA;193;194
261040 PARNAMIRIM;292;297
261050 PASSIRA;393;396
261060 PAUDALHO;852;865
261070 PAULISTA;3862;3898
261080 PEDRA;327;332
